Event_Name,Event_Type,Department,Rating,Feedback_Comment,Would_Recommend
AI Workshop,Workshop,Electronics,1,Too long and unengaging,No
Entrepreneurship Seminar,Seminar,Civil,2,Poor organisation,No
AI Workshop,Workshop,Computer Science,4,Very informative and well organised,Yes
AI Workshop,Workshop,Civil,2,Needs better planning,No
Tech Symposium,Seminar,Management,4,Well structured and engaging,Yes
Entrepreneurship Seminar,Seminar,Computer Science,3,Content was decent,No
Cultural Fest,Cultural,Mechanical,4,Great learning experience,Yes
Cultural Fest,Cultural,Computer Science,2,Too long and unengaging,No
AI Workshop,Workshop,Mechanical,3,Content was decent,No
Hackathon,Tech Fest,Civil,5,"Amazing event, would attend again",Yes
AI Workshop,Workshop,Computer Science,5,"Amazing event, would attend again",Yes
Hackathon,Tech Fest,Mechanical,5,Well structured and engaging,Yes
Entrepreneurship Seminar,Seminar,Electronics,4,Very informative and well organised,Yes
Hackathon,Tech Fest,Computer Science,5,Loved the speakers and content,Yes
Music Night,Cultural,Electronics,3,Content was decent,No
Robotics Workshop,Workshop,Computer Science,3,Content was decent,No
Cultural Fest,Cultural,Electronics,4,Loved the speakers and content,Yes
Startup Bootcamp,Workshop,Electronics,3,Not bad overall,No
Robotics Workshop,Workshop,Electronics,5,Very informative and well organised,Yes
Tech Symposium,Seminar,Mechanical,5,"Amazing event, would attend again",Yes
AI Workshop,Workshop,Mechanical,2,Needs better planning,No
Entrepreneurship Seminar,Seminar,Management,4,"Amazing event, would attend again",Yes
Cultural Fest,Cultural,Civil,3,Average experience,No
Hackathon,Tech Fest,Civil,4,"Amazing event, would attend again",Yes
Music Night,Cultural,Civil,3,Average experience,No
Startup Bootcamp,Workshop,Computer Science,1,Poor organisation,No
Cultural Fest,Cultural,Civil,4,"Amazing event, would attend again",Yes
AI Workshop,Workshop,Management,3,Not bad overall,No
Hackathon,Tech Fest,Computer Science,5,Very informative and well organised,Yes
Hackathon,Tech Fest,Computer Science,4,Great learning experience,Yes
Hackathon,Tech Fest,Computer Science,3,Good but needs improvement,No
Hackathon,Tech Fest,Civil,5,Loved the speakers and content,Yes
AI Workshop,Workshop,Civil,5,Great learning experience,Yes
Entrepreneurship Seminar,Seminar,Civil,2,Content was boring,No
Tech Symposium,Seminar,Computer Science,4,"Amazing event, would attend again",Yes
AI Workshop,Workshop,Electronics,5,Great learning experience,Yes
Tech Symposium,Seminar,Computer Science,2,Needs better planning,No
AI Workshop,Workshop,Civil,4,Very informative and well organised,Yes
Cultural Fest,Cultural,Civil,2,Did not meet expectations,No
Cultural Fest,Cultural,Management,3,Not bad overall,No
Entrepreneurship Seminar,Seminar,Mechanical,5,Loved the speakers and content,Yes
Music Night,Cultural,Management,5,Great learning experience,Yes
Startup Bootcamp,Workshop,Computer Science,2,Content was boring,No
